reaction	taxon	effector	direction	elasticity	type
EX_hdcea_m	medium	EX_k_m	zero	0.0	exchanges
EX_ocdca_m	medium	EX_k_m	zero	0.0	exchanges
EX_ocdcea_m	medium	EX_k_m	zero	0.0	exchanges
EX_ttdca_m	medium	EX_k_m	zero	0.0	exchanges
EX_glyald_m	medium	EX_k_m	zero	0.0	exchanges
EX_man6p_m	medium	EX_k_m	zero	0.0	exchanges
EX_ttdcea_m	medium	EX_k_m	zero	0.0	exchanges
EX_6pgc_m	medium	EX_k_m	zero	0.0	exchanges
EX_salchs4fe_m	medium	EX_k_m	zero	0.0	exchanges
EX_galctr__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_id3acald_m	medium	EX_k_m	zero	0.0	exchanges
EX_peamn_m	medium	EX_k_m	zero	0.0	exchanges
EX_tartr__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_4hba_m	medium	EX_k_m	zero	0.0	exchanges
EX_cgly_m	medium	EX_k_m	zero	0.0	exchanges
EX_dxyl_m	medium	EX_k_m	reverse	0.08878402759628479	exchanges
EX_fuc__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_udcpdp_m	medium	EX_k_m	zero	0.0	exchanges
EX_udcpp_m	medium	EX_k_m	zero	0.0	exchanges
EX_xyl__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_actn__R_m	medium	EX_k_m	zero	0.0	exchanges
EX_bzal_m	medium	EX_k_m	zero	0.0	exchanges
EX_cyst__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_n2_m	medium	EX_k_m	zero	0.0	exchanges
EX_ppt_m	medium	EX_k_m	zero	0.0	exchanges
EX_5mtr_m	medium	EX_k_m	zero	0.0	exchanges
EX_ad_m	medium	EX_k_m	zero	0.0	exchanges
EX_12ppd__S_m	medium	EX_k_m	zero	0.0	exchanges
EX_thym_m	medium	EX_k_m	zero	0.0	exchanges
EX_12ppd__R_m	medium	EX_k_m	zero	0.0	exchanges
EX_g6p_m	medium	EX_k_m	zero	0.0	exchanges
EX_man1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_raffin_m	medium	EX_k_m	zero	0.0	exchanges
EX_rbt_m	medium	EX_k_m	zero	0.0	exchanges
EX_23camp_m	medium	EX_k_m	zero	0.0	exchanges
EX_23ccmp_m	medium	EX_k_m	zero	0.0	exchanges
EX_23cgmp_m	medium	EX_k_m	zero	0.0	exchanges
EX_23cump_m	medium	EX_k_m	zero	0.0	exchanges
EX_23dappa_m	medium	EX_k_m	zero	0.0	exchanges
EX_3amp_m	medium	EX_k_m	zero	0.0	exchanges
EX_3cmp_m	medium	EX_k_m	zero	0.0	exchanges
EX_3gmp_m	medium	EX_k_m	zero	0.0	exchanges
EX_3ump_m	medium	EX_k_m	zero	0.0	exchanges
EX_3mb_m	medium	EX_k_m	zero	0.0	exchanges
EX_cyan_m	medium	EX_k_m	zero	0.0	exchanges
EX_tcynt_m	medium	EX_k_m	zero	0.0	exchanges
EX_fol_m	medium	EX_k_m	zero	0.0	exchanges
EX_g1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_dump_m	medium	EX_k_m	zero	0.0	exchanges
EX_duri_m	medium	EX_k_m	zero	0.0	exchanges
EX_cys__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_pnto__R_m	medium	EX_k_m	forward	57.71640273924554	exchanges
EX_pser__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_dextrin_m	medium	EX_k_m	zero	0.0	exchanges
EX_gal1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_glcn__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_malthp_m	medium	EX_k_m	zero	0.0	exchanges
EX_rnam_m	medium	EX_k_m	zero	0.0	exchanges
EX_gm1lipa_m	medium	EX_k_m	forward	-40.49062697966143	exchanges
EX_murein5p5p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5px4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5px3p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5p5p5p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5px4px4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_uaagmda_m	medium	EX_k_m	zero	0.0	exchanges
EX_2ddglcn_m	medium	EX_k_m	zero	0.0	exchanges
EX_catechol_m	medium	EX_k_m	zero	0.0	exchanges
EX_Lcyst_m	medium	EX_k_m	zero	0.0	exchanges
EX_acgal1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_acgam1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_din_m	medium	EX_k_m	zero	0.0	exchanges
EX_dimp_m	medium	EX_k_m	zero	0.0	exchanges
EX_glcur1p_m	medium	EX_k_m	zero	0.0	exchanges
EX_udpg_m	medium	EX_k_m	zero	0.0	exchanges
EX_udpgal_m	medium	EX_k_m	zero	0.0	exchanges
EX_uacgam_m	medium	EX_k_m	zero	0.0	exchanges
EX_udpacgal_m	medium	EX_k_m	zero	0.0	exchanges
EX_udpglcur_m	medium	EX_k_m	zero	0.0	exchanges
EX_colipa_m	medium	EX_k_m	zero	0.0	exchanges
EX_cellb_m	medium	EX_k_m	zero	0.0	exchanges
EX_drib_m	medium	EX_k_m	zero	0.0	exchanges
EX_feroxBfe_m	medium	EX_k_m	zero	0.0	exchanges
EX_feroxB_m	medium	EX_k_m	zero	0.0	exchanges
EX_gam_m	medium	EX_k_m	zero	0.0	exchanges
EX_hco3_m	medium	EX_k_m	zero	0.0	exchanges
EX_starch_m	medium	EX_k_m	zero	0.0	exchanges
EX_malttr_m	medium	EX_k_m	zero	0.0	exchanges
EX_amylose300_m	medium	EX_k_m	zero	0.0	exchanges
EX_15dap_m	medium	EX_k_m	zero	0.0	exchanges
EX_cell4_m	medium	EX_k_m	zero	0.0	exchanges
EX_cell500_m	medium	EX_k_m	zero	0.0	exchanges
EX_glucan1500_m	medium	EX_k_m	zero	0.0	exchanges
EX_glucan6_m	medium	EX_k_m	zero	0.0	exchanges
EX_glucan4_m	medium	EX_k_m	zero	0.0	exchanges
EX_glycogen1500_m	medium	EX_k_m	reverse	0.0	exchanges
EX_idon__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_lmn2_m	medium	EX_k_m	zero	0.0	exchanges
EX_lmn30_m	medium	EX_k_m	zero	0.0	exchanges
EX_xylan12_m	medium	EX_k_m	zero	0.0	exchanges
EX_xylan4_m	medium	EX_k_m	zero	0.0	exchanges
EX_xylan8_m	medium	EX_k_m	zero	0.0	exchanges
EX_acolipa_m	medium	EX_k_m	zero	0.0	exchanges
EX_cell6_m	medium	EX_k_m	zero	0.0	exchanges
EX_feroxEfe_m	medium	EX_k_m	zero	0.0	exchanges
EX_feroxE_m	medium	EX_k_m	zero	0.0	exchanges
EX_galt_m	medium	EX_k_m	zero	0.0	exchanges
EX_arbtn_m	medium	EX_k_m	zero	0.0	exchanges
EX_arbtn_fe3_m	medium	EX_k_m	zero	0.0	exchanges
EX_madg_m	medium	EX_k_m	zero	0.0	exchanges
EX_mbdg_m	medium	EX_k_m	zero	0.0	exchanges
EX_fer_m	medium	EX_k_m	zero	0.0	exchanges
EX_Larab_m	medium	EX_k_m	zero	0.0	exchanges
EX_xyl3_m	medium	EX_k_m	zero	0.0	exchanges
EX_xylb_m	medium	EX_k_m	zero	0.0	exchanges
EX_galctn__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_o16a4colipa_m	medium	EX_k_m	zero	0.0	exchanges
EX_manttr_m	medium	EX_k_m	zero	0.0	exchanges
EX_fe3hox_m	medium	EX_k_m	zero	0.0	exchanges
EX_fe3hox_un_m	medium	EX_k_m	zero	0.0	exchanges
EX_fruur_m	medium	EX_k_m	zero	0.0	exchanges
EX_galctn__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_galman4_m	medium	EX_k_m	zero	0.0	exchanges
EX_galman600_m	medium	EX_k_m	zero	0.0	exchanges
EX_galman6_m	medium	EX_k_m	zero	0.0	exchanges
EX_lyx__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_pser__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_rmn_m	medium	EX_k_m	zero	0.0	exchanges
EX_pdima_m	medium	EX_k_m	zero	0.0	exchanges
EX_citr__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_feoxam_m	medium	EX_k_m	zero	0.0	exchanges
EX_feoxam_un_m	medium	EX_k_m	zero	0.0	exchanges
EX_h2co3_m	medium	EX_k_m	forward	15.649355865652245	exchanges
EX_salchs2fe_m	medium	EX_k_m	zero	0.0	exchanges
EX_salchsx_m	medium	EX_k_m	zero	0.0	exchanges
EX_acmum_m	medium	EX_k_m	zero	0.0	exchanges
EX_glu__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_pheme_m	medium	EX_k_m	zero	0.0	exchanges
EX_ppal_m	medium	EX_k_m	zero	0.0	exchanges
EX_gm2lipa_m	medium	EX_k_m	forward	-8.494187712178416	exchanges
EX_maltttr_m	medium	EX_k_m	zero	0.0	exchanges
EX_araban__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_acgam_m	medium	EX_k_m	zero	0.0	exchanges
EX_cpgn_m	medium	EX_k_m	zero	0.0	exchanges
EX_cpgn_un_m	medium	EX_k_m	zero	0.0	exchanges
EX_tton_m	medium	EX_k_m	zero	0.0	exchanges
EX_2obut_m	medium	EX_k_m	zero	0.0	exchanges
EX_malthx_m	medium	EX_k_m	zero	0.0	exchanges
EX_maltpt_m	medium	EX_k_m	zero	0.0	exchanges
EX_pullulan1200_m	medium	EX_k_m	zero	0.0	exchanges
EX_tag__D_m	medium	EX_k_m	zero	0.0	exchanges
EX_2pg_m	medium	EX_k_m	zero	0.0	exchanges
EX_3pg_m	medium	EX_k_m	zero	0.0	exchanges
EX_fe3dhbzs_m	medium	EX_k_m	zero	0.0	exchanges
EX_fe3dcit_m	medium	EX_k_m	zero	0.0	exchanges
EX_manglyc_m	medium	EX_k_m	zero	0.0	exchanges
EX_26dap__M_m	medium	EX_k_m	zero	0.0	exchanges
EX_chor_m	medium	EX_k_m	zero	0.0	exchanges
EX_coa_m	medium	EX_k_m	zero	0.0	exchanges
EX_f6p_m	medium	EX_k_m	zero	0.0	exchanges
EX_pep_m	medium	EX_k_m	zero	0.0	exchanges
EX_starch1200_m	medium	EX_k_m	zero	0.0	exchanges
EX_fe3dhbzs3_m	medium	EX_k_m	zero	0.0	exchanges
EX_colipap_m	medium	EX_k_m	zero	0.0	exchanges
EX_glycogen_m	medium	EX_k_m	zero	0.0	exchanges
EX_ascb__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_srb__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_eca4colipa_m	medium	EX_k_m	zero	0.0	exchanges
EX_r5p_m	medium	EX_k_m	zero	0.0	exchanges
EX_gam6p_m	medium	EX_k_m	zero	0.0	exchanges
EX_co_m	medium	EX_k_m	zero	0.0	exchanges
EX_orn__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein4px4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein4px4px4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5p4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein4p4p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein4p3p_m	medium	EX_k_m	zero	0.0	exchanges
EX_murein5p3p_m	medium	EX_k_m	zero	0.0	exchanges
EX_guln__L_m	medium	EX_k_m	zero	0.0	exchanges
EX_glc__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_h2o_m	medium	EX_ca2_m	forward	2.555897713601838	exchanges
EX_14glucan_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_h_m	medium	EX_ca2_m	reverse	0.0	exchanges
EX_2pglyc_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_34dhbz_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_34dhcinm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_leu__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_3hoxpac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_3hpp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_3oxoadp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4hbz_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4hoxpacd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ala__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4hthr_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cl_m	medium	EX_ca2_m	reverse	4.614484950593578e-05	exchanges
EX_arab__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_abt__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4abut_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_acac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_acald_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_chol_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_acnam_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_acon_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pi_m	medium	EX_ca2_m	reverse	-13.146303436385574	exchanges
EX_acser_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_adn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ins_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_nh4_m	medium	EX_ca2_m	forward	2.9263744887516596	exchanges
EX_ade_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_agm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_akg_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mal__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_alaala_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_asn__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cys__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ala__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gln__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gly_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ser__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_thr__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_arg__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_alltn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_amp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_malt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_anhgm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_arab__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_fe3_m	medium	EX_ca2_m	reverse	3.197641515965315	exchanges
EX_lys__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_orn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_asp__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_phe__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_aso3_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_aso4_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_k_m	medium	EX_ca2_m	reverse	4.6180010131458005e-05	exchanges
EX_pro__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ala_B_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_meoh_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_btd_RR_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_btoh_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_butso3_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_but_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_bz_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ca2_m	medium	EX_ca2_m	reverse	4.614473820829801e-05	exchanges
EX_chols_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_chtbs_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cit_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mg2_m	medium	EX_ca2_m	reverse	4.615926133766379e-05	exchanges
EX_mn2_m	medium	EX_ca2_m	reverse	4.590980779539677e-05	exchanges
EX_cobalt2_m	medium	EX_ca2_m	reverse	4.4369659413234785e-05	exchanges
EX_zn2_m	medium	EX_ca2_m	reverse	4.5636279821792414e-05	exchanges
EX_succ_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_for_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_lipa_cold_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_oxa_m	medium	EX_ca2_m	forward	44.714820622546455	exchanges
EX_cmp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_co2_m	medium	EX_ca2_m	forward	2.188959068753591	exchanges
EX_confrl_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4crsol_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_crn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_csn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cu2_m	medium	EX_ca2_m	reverse	4.591579648050015e-05	exchanges
EX_cynt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_o2_m	medium	EX_ca2_m	reverse	0.0	exchanges
EX_glu__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cytd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_diact_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dad_2_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_damp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dca_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dcmp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dcyt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dgmp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dgsn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_lac__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dms_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dmso_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ser__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dtmp_m	medium	EX_ca2_m	forward	-133.9711420700825	exchanges
EX_enlipa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_galur_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_etha_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ethso3_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_etoh_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_h2_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_fald_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_fe2_m	medium	EX_ca2_m	forward	3.220833866582281	exchanges
EX_enter_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_frmd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_fru_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_fum_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_g3pc_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_g3pe_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_g3pg_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_g3pi_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_g3ps_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_galct__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gthrd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glcn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glcr_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glcur_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glyc3p_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glyb_m	medium	EX_ca2_m	reverse	27.22986445428365	exchanges
EX_glyc2p_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glyc__R_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glyclt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_glyc_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gmp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gsn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gthox_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_h2o2_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gua_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_h2s_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_3hcinnm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_hexs_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_his__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_hom__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4hphac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_3hpppn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_hxan_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_hxa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_taur_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ibt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_icit_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ile__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_imp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_indole_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_inost_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_isetac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_kdo2lipid4_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_lcts_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_LalaDglu_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_LalaLglu_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_lac__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mal__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_melib_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_met__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mmet_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mobd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_mso3_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_n2o_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_nac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_nmn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_no2_m	medium	EX_ca2_m	reverse	-4.846700293800827	exchanges
EX_ump_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_no3_m	medium	EX_ca2_m	reverse	0.0	exchanges
EX_no_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_uri_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_oaa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_octa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_orot_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pacald_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ppa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ppoh_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pppn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_progly_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ptrc_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pydam_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pydxn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_pyr_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_quin_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_so4_m	medium	EX_ca2_m	reverse	0.0948407456292033	exchanges
EX_urate_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_trp__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tyr__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_val__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_spmd_m	medium	EX_ca2_m	forward	-89.50321360555975	exchanges
EX_urea_m	medium	EX_ca2_m	forward	103.88883425162834	exchanges
EX_rib__D_m	medium	EX_ca2_m	forward	107.00773000084872	exchanges
EX_salchs4_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_skm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_so3_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_s_m	medium	EX_ca2_m	forward	5.84968575618479	exchanges
EX_sucr_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_sulfac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_T4hcinnm_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tartr__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tet_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_thm_m	medium	EX_ca2_m	reverse	-0.4053153531038234	exchanges
EX_thymd_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tma_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tmao_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tol_m	medium	EX_ca2_m	reverse	-6.058122246587914	exchanges
EX_tre_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tsul_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_tym_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ura_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_vanln_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_vanlt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_xan_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_xmp_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_xtsn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_2dhglcn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_34dhpac_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_LalaDgluMdap_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_LalaDgluMdapDala_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_5dglcn_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_buts_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_bzalc_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_cu_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dha_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_dopa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_eths_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_feenter_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gal_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_gal_bD_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_istnt_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_lipa_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_man_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_metox_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_metox__R_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_m_xyl_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_udcpo5_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_p_xyl_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_sbt__D_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_sula_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_xylu__L_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4abz_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_4hbald_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_ddca_m	medium	EX_ca2_m	zero	0.0	exchanges
EX_hdca_m	medium	EX_ca2_m	zero	0.0	exchanges
